satellites, start_query, end_query, longitude, latitude, start_overpass, end_overpass
SENTINEL-5P;CALIPSO,2019-08-07 12:00:00+00:00,2019-08-20 15:00:00+00:00,-120.93562779715084,75.28143918132639,2019-08-19 19:40:00+00:00,2019-08-19 23:20:00+00:00
SENTINEL-5P;CALIPSO,2019-08-07 12:00:00+00:00,2019-08-20 15:00:00+00:00,25.0628792419719,40.92675967972221,2019-08-17 11:40:00+00:00,2019-08-17 15:15:00+00:00
SENTINEL-5P;CALIPSO,2019-08-07 12:00:00+00:00,2019-08-20 15:00:00+00:00,176.73763755668867,-66.76553167595483,2019-08-15 03:20:00+00:00,2019-08-15 06:55:00+00:00
SENTINEL-5P;CALIPSO,2019-08-07 12:00:00+00:00,2019-08-20 15:00:00+00:00,85.78113651191595,-56.73147537215261,2019-08-12 19:15:00+00:00,2019-08-12 22:55:00+00:00
SENTINEL-5P;CALIPSO,2019-08-07 12:00:00+00:00,2019-08-20 15:00:00+00:00,-140.77833635115428,-2.9346998464600644,2019-08-10 11:10:00+00:00,2019-08-10 14:35:00+00:00
SENTINEL-5P;CALIPSO,2019-08-07 12:00:00+00:00,2019-08-20 15:00:00+00:00,139.0146813441434,71.64319172370953,2019-08-08 02:50:00+00:00,2019-08-08 06:30:00+00:00
SENTINEL-5P;CALIPSO,2019-08-20 12:00:00+00:00,2019-09-02 15:00:00+00:00,-123.19812943939162,76.87240303907531,2019-08-31 12:35:00+00:00,2019-08-31 16:10:00+00:00
SENTINEL-5P;CALIPSO,2019-08-20 12:00:00+00:00,2019-09-02 15:00:00+00:00,131.5084976587998,45.190638226544934,2019-08-29 04:30:00+00:00,2019-08-29 08:05:00+00:00
SENTINEL-5P;CALIPSO,2019-08-20 12:00:00+00:00,2019-09-02 15:00:00+00:00,-88.11891544810797,-45.10118407380092,2019-08-26 20:15:00+00:00,2019-08-26 23:45:00+00:00
SENTINEL-5P;CALIPSO,2019-08-20 12:00:00+00:00,2019-09-02 15:00:00+00:00,-168.8967832528713,-60.83246399752651,2019-08-24 12:05:00+00:00,2019-08-24 15:45:00+00:00
SENTINEL-5P;CALIPSO,2019-08-20 12:00:00+00:00,2019-09-02 15:00:00+00:00,-33.7687734486281,-7.189530948863278,2019-08-22 04:00:00+00:00,2019-08-22 07:30:00+00:00
SENTINEL-5P;CALIPSO,2019-09-02 12:00:00+00:00,2019-09-15 15:00:00+00:00,-179.858459866012,-16.068585516765424,2019-09-14 13:40:00+00:00,2019-09-14 17:10:00+00:00
SENTINEL-5P;CALIPSO,2019-09-02 12:00:00+00:00,2019-09-15 15:00:00+00:00,60.17306852545906,81.09795492213128,2019-09-12 05:20:00+00:00,2019-09-12 09:00:00+00:00
SENTINEL-5P;CALIPSO,2019-09-02 12:00:00+00:00,2019-09-15 15:00:00+00:00,-122.2864260059287,49.57386577211955,2019-09-09 21:20:00+00:00,2019-09-10 00:55:00+00:00
SENTINEL-5P;CALIPSO,2019-09-02 12:00:00+00:00,2019-09-15 15:00:00+00:00,13.416826888352492,-22.718818610484327,2019-09-07 13:10:00+00:00,2019-09-07 16:35:00+00:00
SENTINEL-5P;CALIPSO,2019-09-02 12:00:00+00:00,2019-09-15 15:00:00+00:00,-64.34892390474357,-64.9963755670203,2019-09-05 04:55:00+00:00,2019-09-05 08:35:00+00:00
SENTINEL-5P;CALIPSO,2019-09-02 12:00:00+00:00,2019-09-15 15:00:00+00:00,73.20761068010721,-11.568773023458713,2019-09-02 20:50:00+00:00,2019-09-03 00:20:00+00:00
SENTINEL-5P;CALIPSO,2019-09-15 12:00:00+00:00,2019-09-28 15:00:00+00:00,-72.9792782330408,-20.688424181930962,2019-09-26 06:30:00+00:00,2019-09-26 10:00:00+00:00
SENTINEL-5P;CALIPSO,2019-09-15 12:00:00+00:00,2019-09-28 15:00:00+00:00,136.76156207335703,81.66853185184407,2019-09-23 22:10:00+00:00,2019-09-24 01:45:00+00:00
